순위,노래제목,가수
1,Love wins all,아이유
2,밤양갱,비비 (BIBI)
3,첫 만남은 계획대로 되지 않아,TWS (투어스)
4,To. X,태연 (TAEYEON)
5,비의 랩소디,임재현
6,Love 119,RIIZE
7,에피소드,이무진
8,Perfect Night,LE SSERAFIM (르세라핌)
9,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
10,Drama,aespa
11,EASY,LE SSERAFIM (르세라핌)
12,Super Lady,(여자)아이들
13,헤어지자 말해요,박재정
14,Wife,(여자)아이들
15,인사,범진
16,사랑은 늘 도망가,임영웅
17,꿈,태연 (TAEYEON)
18,Seven (feat. Latto) - Clean Ver.,정국
19,MANIAC,VIVIZ (비비지)
20,I AM,IVE (아이브)
21,모래 알갱이,임영웅
22,Get A Guitar,RIIZE
23,우리들의 블루스,임영웅
24,Do or Die,임영웅
25,다시 만날 수 있을까,임영웅
26,너의 모든 순간,성시경
27,Love Lee,AKMU (악뮤)
28,Baddie,IVE (아이브)
29,이제 나만 믿어요,임영웅
30,You & Me,제니 (JENNIE)
31,사막에서 꽃을 피우듯,우디 (Woody)
32,무지개,임영웅
33,예뻤어,DAY6 (데이식스)
34,Super Shy,NewJeans
35,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
36,퀸카 (Queencard),(여자)아이들
37,Polaroid,임영웅
38,Hype Boy,NewJeans
39,London Boy,임영웅
40,아버지,임영웅
41,인생찬가,임영웅
42,후라이의 꿈,AKMU (악뮤)
43,한 페이지가 될 수 있게,DAY6 (데이식스)
44,사랑인가 봐,멜로망스
45,Ditto,NewJeans
46,Standing Next to You,정국
47,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
48,ETA,NewJeans
49,A bientot,임영웅
50,사랑할 수밖에,볼빨간사춘기
51,기억해줘요 내 모든 날과 그때를,화곡동 청개구리
52,사건의 지평선,윤하 (YOUNHA)
53,Spicy,aespa
54,사랑하지 않아서 그랬어,임한별
55,취중고백,김민석
56,심(心),DK(디셈버)
57,별 떨어진다 (I Do),디오 (D.O.)
58,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
59,연애편지,임영웅
60,첫 눈,EXO
61,그대가 내 안에 박혔다(그내박),순순희(기태)
62,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
63,봄날,방탄소년단
64,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom)
65,LOVE DIVE,IVE (아이브)
66,I Don't Think That I Like Her,Charlie Puth
67,주저하는 연인들을 위해,잔나비
68,Kitsch,IVE (아이브)
69,Dynamite,방탄소년단
70,해요 (2022),#안녕
71,나는 아픈 건 딱 질색이니까,(여자)아이들
72,사랑..그게 뭔데,지아
73,손오공,세븐틴 (SEVENTEEN)
74,Steal The Show (From “엘리멘탈”),Lauv
75,음악의 신,세븐틴 (SEVENTEEN)
76,"그대가 있는 곳, 언제 어디든",로이킴
77,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
78,물론,허각
79,OMG,NewJeans
80,Discord,QWER
81,After LIKE,IVE (아이브)
82,다정히 내 이름을 부르면,"경서예지, 전건호"
83,Dangerously,Charlie Puth
84,Fast Forward,전소미
85,I Love You,안세하
86,그중에 그대를 만나,김호중
87,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
88,Bubble,STAYC(스테이씨)
89,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지"
90,Off The Record,IVE (아이브)
91,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
92,Attention,NewJeans
93,Butter,방탄소년단
94,나에게 그대만이,탑현
95,Either Way,IVE (아이브)
96,잠시라도 우리,"성시경, 나얼"
97,눈이 오잖아(Feat.헤이즈),이무진
98,Merry PLLIstmas,PLAVE
99,여섯 번째 여름,PLAVE
100,Talk Saxy,RIIZE
